stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
6708,26708,UNIVERSITY BLV E & BUCKINGHAM DR,,39.006638,-76.997589,,,,
6710,26710,UNIVERSITY BLV E & SCHUYLER RD,,39.007992,-76.99819,,,,
6712,26712,UNIVERSITY BLV E & MELBOURNE AVE,,39.010051,-76.999989,,,,
6714,26714,UNIVERSITY BLV E & DEARBORN AVE,,39.010866,-77.00121,,,,
6716,26716,UNIVERSITY BLV E & FRANKLIN AVE,,39.012035,-77.002373,,,,
6718,26718,UNIVERSITY BLV E & INDIAN SPRING DR,,39.013465,-77.003461,,,,
6720,26720,UNIVERSITY BLV E & WHITESTONE RD,,39.016992,-77.006117,,,,
6722,26722,UNIVERSITY BLV E & WILLIAMSBURG DR,,39.017726,-77.006699,,,,
6724,26724,UNIVERSITY BLV E & ST LAWRENCE DR,,39.018619,-77.007679,,,,
6726,26726,UNIVERSITY BLV E & LEXINGTON DR,,39.019482,-77.010483,,,,
6728,26728,UNIVERSITY BLV E & COLESVILLE RD,,39.019913,-77.011848,,,,
6730,26730,UNIVERSITY BLV W & SUTHERLAND RD,,39.020843,-77.013342,,,,
6732,26732,UNIVERSITY BLV W & LORAIN AVE,,39.02186,-77.014931,,,,
6734,26734,UNIVERSITY BLV W & BRUNETT AVE,,39.023106,-77.016629,,,,
6736,26736,UNIVERSITY BLV W & ROYALTON RD,,39.024465,-77.018401,,,,
6738,26738,UNIVERSITY BLV W & DENNIS AVE,,39.026019,-77.019974,,,,
6740,26740,UNIVERSITY BLV W & EISNER ST,,39.029655,-77.020866,,,,
6742,26742,UNIVERSITY BLV W & ORANGE DR,,39.031142,-77.021909,,,,
6744,26744,UNIVERSITY BLV W & CADDINGTON AVE,,39.033389,-77.02349,,,,
6746,26746,UNIVERSITY BLV W & ARCOLA AVE,,39.034159,-77.023967,,,,
6748,26748,UNIVERSITY BLV W & HEMMINGWAY CT,,39.036232,-77.027672,,,,
6750,26750,UNIVERSITY BLV W & SLIGO CREEK PKWY,,39.036667,-77.030209,,,,
6752,26752,UNIVERSITY BLV W & PEBBLE RUN DR,,39.036307,-77.035321,,,,
6754,26754,UNIVERSITY BLV W & INWOOD AVE,,39.036297,-77.036774,,,,
6756,26756,UNIVERSITY BLV W & NICHOLAS DR,,39.036819,-77.038629,,,,
6758,26758,UNIVERSITY BLV W & EASECREST DR,,39.037781,-77.040031,,,,
6760,26760,UNIVERSITY BLV W & MARKWOOD DR,,39.039005,-77.041565,,,,
6762,26762,UNIVERSITY BLV W & REEDIE DR,,39.039869,-77.042728,,,,
6764,26764,UNIVERSITY BLV W & WESTCHESTER DR,,39.040535,-77.044029,,,,
6766,26766,UNIVERSITY BLV W & VEIRS MILL RD,,39.039592,-77.056446,,,,
6768,26768,UNIVERSITY BLV W & MIDVALE RD,,39.038239,-77.058873,,,,
6770,26770,UNIVERSITY BLV W & VALLEYVIEW AVE,,39.037662,-77.059995,,,,
6772,26772,UNIVERSITY BLV W & HILLSDALE DR,,39.037059,-77.061292,,,,
6774,26774,UNIVERSITY BLV W & HOBSON ST,,39.035903,-77.064603,,,,
6776,26776,UNIVERSITY BLV W & @3333,,39.035484,-77.066734,,,,
6778,26778,UNIVERSITY BLV W & MADISON ST,,39.035259,-77.069061,,,,
6780,26780,UNIVERSITY BLV W & DECATUR AVE,,39.034284,-77.071906,,,,
6782,26782,UNIVERSITY BLV W & PERRY AVE,,39.033112,-77.073586,,,,
6784,26784,UNIVERSITY BLV W & CONNECTICUT AVE,,39.032037,-77.074669,,,,
6800,26800,VEIRS MILL RD & ENNALLS AVE,,39.039709,-77.054637,,,,
